
Jupyter Notebook                                     anaconda.Jupyter.anaconda3.base                                   
Launch 1HELLO.EXE                                    C:\TURBOC3\SOURCE\1HELLO.EXE                                      
Launch BGIOBJ.EXE                                    C:\TURBOC3\BGI\BGIOBJ.EXE                                         
Launch CPP.EXE                                       C:\TURBOC3\BIN\CPP.EXE                                            
Launch DIMND.EXE                                     C:\TURBOC3\SOURCE\DIMND.EXE                                       
Launch DOSBox.exe                                    C:\TURBOC3\Turbo C++\DOSBox-0.74\DOSBox.exe                       
Launch DPMIINST.EXE                                  C:\TURBOC3\BIN\DPMIINST.EXE                                       
Launch DPMILOAD.EXE                                  C:\TURBOC3\BIN\DPMILOAD.EXE                                       
Launch DPMIRES.EXE                                   C:\TURBOC3\BIN\DPMIRES.EXE                                        
Launch EX1.EXE                                       C:\TURBOC3\BIN\EX1.EXE                                            
Launch GREP2MSG.EXE                                  C:\TURBOC3\BIN\GREP2MSG.EXE                                       
Launch MAKE.EXE                                      C:\TURBOC3\BIN\MAKE.EXE                                           
Launch MAKER.EXE                                     C:\TURBOC3\BIN\MAKER.EXE                                          
Launch NONAME00.EXE                                  C:\TURBOC3\SOURCE\NONAME00.EXE                                    
Launch PRJ2MAK.EXE                                   C:\TURBOC3\BIN\PRJ2MAK.EXE                                        
Launch PRJCFG.EXE                                    C:\TURBOC3\BIN\PRJCFG.EXE                                         
Launch PRJCNVT.EXE                                   C:\TURBOC3\BIN\PRJCNVT.EXE                                        
Launch TASM2MSG.EXE                                  C:\TURBOC3\BIN\TASM2MSG.EXE                                       
Launch TC.EXE                                        C:\TURBOC3\BIN\TC.EXE                                             
Launch TCC.EXE                                       C:\TURBOC3\BIN\TCC.EXE                                            
Launch TDUMP.EXE                                     C:\TURBOC3\BIN\TDUMP.EXE                                          
Launch TEMC.EXE                                      C:\TURBOC3\BIN\TEMC.EXE                                           
Launch TLIB.EXE                                      C:\TURBOC3\BIN\TLIB.EXE                                           
Launch TLINK.EXE                                     C:\TURBOC3\BIN\TLINK.EXE                                          
Launch TRANCOPY.EXE                                  C:\TURBOC3\BIN\TRANCOPY.EXE                                       
Launch TRIGRAPH.EXE                                  C:\TURBOC3\BIN\TRIGRAPH.EXE                                       
Launch uninstall.exe                                 C:\TURBOC3\Turbo C++\DOSBox-0.74\uninstall.exe                    
Launch UNZIP.EXE                                     C:\TURBOC3\BIN\UNZIP.EXE                                          
Learn More                                           http://app.prntscr.com/learnmore.html                             
license                                              {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Internet Download Manage...
License (English)                                    {6D809377-6AF0-444B-8957-A3773F02200E}\Oracle\VirtualBox\Licens...
Lightshot                                            {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Skillbrains\lightshot\Li...
Live captions                                        {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\LiveCaptions.exe           
Magnifier                                            {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\magnify.exe                
Mail                                                 microsoft.windowscommunicationsapps_8wekyb3d8bbwe!microsoft.win...
Maps                                                 Microsoft.WindowsMaps_8wekyb3d8bbwe!App                           
Media Player                                         Microsoft.ZuneMusic_8wekyb3d8bbwe!Microsoft.ZuneMusic             
Microsoft 365 Copilot                                Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe!Microsoft.MicrosoftO...
Microsoft Clipchamp                                  Clipchamp.Clipchamp_yxz26nhyzhsrt!App                             
Microsoft Edge                                       MSEdge                                                            
Microsoft Store                                      Microsoft.WindowsStore_8wekyb3d8bbwe!App                          
Microsoft Teams                                      MSTeams_8wekyb3d8bbwe!MSTeams                                     
Microsoft Teams (personal)                           MicrosoftTeams_8wekyb3d8bbwe!MicrosoftTeams                       
Microsoft To Do                                      Microsoft.Todos_8wekyb3d8bbwe!App                                 
MinGW Installation Manager                           C:\MinGW\libexec\mingw-get\guimain.exe                            
MongoDB Compass                                      com.squirrel.MongoDBCompass.MongoDBCompass                        
Mouse without Borders                                {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Microsoft Garage\Mouse w...
MySQL 8.0 Command Line Client - Unicode              Microsoft.AutoGenerated.{B6ECABB1-7A68-AC3C-1F61-8F8089041EDD}    
MySQL Installer - Community                          Microsoft.AutoGenerated.{2C7C9013-A7FD-5C12-D811-939AFE2A3592}    
MySQL Shell                                          {6D809377-6AF0-444B-8957-A3773F02200E}\MySQL\MySQL Shell 9.2\bi...
MySQL Workbench 8.0 CE                               {6D809377-6AF0-444B-8957-A3773F02200E}\MySQL\MySQL Workbench 8....
Narrator                                             {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\narrator.exe               
News                                                 Microsoft.BingNews_8wekyb3d8bbwe!AppexNews                        
Node.js                                              {6D809377-6AF0-444B-8957-A3773F02200E}\nodejs\node.exe            
Node.js command prompt                               Microsoft.AutoGenerated.{499EE7CA-7ED5-EBC9-AB09-80DC143D7B90}    
Node.js documentation                                https://nodejs.org/download/release/v22.11.0/docs/api/            
Node.js website                                      https://nodejs.org/                                               
Notepad                                              Microsoft.WindowsNotepad_8wekyb3d8bbwe!App                        
Notion                                               com.electron.notion                                               
NVIDIA Control Panel                                 NVIDIACorp.NVIDIAControlPanel_56jybvy8sckqj!NVIDIACorp.NVIDIACo...
ODBC Data Sources (32-bit)                           {D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\odbcad32.exe               
ODBC Data Sources (64-bit)                           {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\odbcad32.exe               
Office Language Preferences                          Microsoft.Office.SETLANG.EXE.15                                   
OneNote                                              Microsoft.Office.ONENOTE.EXE.15                                   
On-Screen Keyboard                                   {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\osk.exe                    
Oracle VirtualBox                                    {6D809377-6AF0-444B-8957-A3773F02200E}\Oracle\VirtualBox\Virtua...
Outlook (classic)                                    Microsoft.Office.OUTLOOK.EXE.15                                   
Outlook (new)                                        Microsoft.OutlookForWindows_8wekyb3d8bbwe!Microsoft.OutlookforW...
Paint                                                Microsoft.Paint_8wekyb3d8bbwe!App                                 
Performance Monitor                                  Microsoft.AutoGenerated.{8AA47365-B2B3-1961-69EB-F866E376B12F}    
Phone Link                                           Microsoft.YourPhone_8wekyb3d8bbwe!App                             
Photos                                               Microsoft.Windows.Photos_8wekyb3d8bbwe!App                        
Pieces Desktop                                       com.MeshIntelligentTechnologi.PiecesDesktop_84gz00a5z79wr!piece...
Pieces Suite                                         com.MeshIntelligentTechnologi.PiecesSuite_84gz00a5z79wr!App       
Postman                                              com.squirrel.Postman.Postman                                      
Power Automate                                       Microsoft.PowerAutomateDesktop_8wekyb3d8bbwe!PAD.Console          
PowerISO                                             {6D809377-6AF0-444B-8957-A3773F02200E}\PowerISO\PowerISO.exe      
PowerISO Help                                        {6D809377-6AF0-444B-8957-A3773F02200E}\PowerISO\PowerISO.chm      
PowerISO Virtual Drive Manager                       {6D809377-6AF0-444B-8957-A3773F02200E}\PowerISO\PWRISOVM.EXE      
PowerPoint                                           Microsoft.Office.POWERPNT.EXE.15                                  
Proton VPN                                           {6D809377-6AF0-444B-8957-A3773F02200E}\Proton\VPN\ProtonVPN.Lau...
PS Remote Play                                       {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Sony\PS Remote Play\Remo...
Publisher                                            Microsoft.Office.MSPUB.EXE.15                                     
Python 3.12 (64-bit)                                 C:\Python312\python.exe                                           
Python 3.12 Manuals (64-bit)                         C:\Python312\Doc\html\index.html                                  
Python 3.12 Module Docs (64-bit)                     Microsoft.AutoGenerated.{E21962E1-E576-B839-6A05-47EF771FBD9C}    
Python 3.13 (64-bit)                                 C:\Users\Hariom\AppData\Local\Programs\Python\Python313\python.exe
Python 3.13 Manuals (64-bit)                         C:\Users\Hariom\AppData\Local\Programs\Python\Python313\Doc\htm...
Python 3.13 Module Docs (64-bit)                     Microsoft.AutoGenerated.{F8B5FBD9-E647-FD1F-5907-112DBC89E6FF}    
Quick Assist                                         MicrosoftCorporationII.QuickAssist_8wekyb3d8bbwe!App              
Realtek Audio Console                                RealtekSemiconductorCorp.RealtekAudioControl_dt26b99r8h8gj!App    
Recovery Drive                                       {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\RecoveryDrive.exe          
Reference Documentation                              http://docs.oracle.com/javase/20/index.html                       
Registry Editor                                      {F38BF404-1D43-42F2-9305-67DE0B28FC23}\regedit.exe                
Release Notes                                        {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\VideoLAN\VLC\NEWS.txt      
Remote Desktop Connection                            Microsoft.Windows.RemoteDesktop                                   
Report a Problem with Unity                          {6D809377-6AF0-444B-8957-A3773F02200E}\Unity\Hub\Editor\2022.3....
Report a Problem with Unity                          {6D809377-6AF0-444B-8957-A3773F02200E}\Unity\Hub\Editor\6000.0....
Resource Monitor                                     Microsoft.AutoGenerated.{C804BBA7-FA5F-CBF7-8B55-2096E5F972CB}    
Run                                                  Microsoft.Windows.Shell.RunDialog                                 
Scilab on the Web                                    {6D809377-6AF0-444B-8957-A3773F02200E}\scilab-2025.0.0\scilabwe...
scilab-2025.0.0 (64-bit) Advanced Console            {6D809377-6AF0-444B-8957-A3773F02200E}\scilab-2025.0.0\bin\WSci...
scilab-2025.0.0 (64-bit) Console                     {6D809377-6AF0-444B-8957-A3773F02200E}\scilab-2025.0.0\bin\Scil...
scilab-2025.0.0 (64-bit) Desktop                     {6D809377-6AF0-444B-8957-A3773F02200E}\scilab-2025.0.0\bin\WSci...
Screenshot history                                   http://app.prntscr.com/about-gallery.html                         
Services                                             {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\services.msc               
